,날짜,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
0,201606,118245,69633,49654,105999,70827,32833,61046,29590,57894,43976,58069,42143,77209,58785,74905,41217,56190,86980,32392,65747,64834,57442,50197,70380,46972
1,201607,130630,76397,55914,118853,78867,34071,53926,33049,64180,49295,64050,44531,80483,63390,82138,43177,60133,90580,36324,86933,70075,62824,51984,76915,52870
2,201608,124931,74765,54983,115760,76540,17638,33892,50600,31848,62349,48352,61253,43313,68458,64165,79262,42681,59812,87868,34867,85168,67160,62025,49940,73878
3,201609,108394,65934,49175,103009,67065,29099,43000,28197,56022,41945,54058,37644,53993,61098,70797,39146,54168,77811,29996,77129,61278,53715,43578,66699,44958
4,201610,121440,74025,55519,116149,77030,31545,47682,30965,62937,32773,60147,40867,58540,67264,78203,43559,59353,86045,32264,81244,66029,61448,47209,72667,49822
5,201611,119401,70902,54477,112102,73884,30149,46437,30896,62042,28194,57450,38747,56563,67769,76427,41662,57400,82056,30738,74879,63805,59596,45692,71621,47832
6,201612,133816,77391,58950,123195,80828,32505,50698,32203,67124,28745,61789,41107,60771,72693,83421,46485,61211,88746,33142,81571,70395,62992,49769,78165,52057
7,201701,118873,73338,56503,118631,76388,17638,28868,47446,31332,62386,26885,55358,37257,56464,66939,74819,43067,56914,82215,30060,75439,63386,60948,43495,68097
8,201702,113907,69552,53451,112764,74504,25228,43061,28707,60967,23170,52675,33315,52018,63663,72132,42459,53248,77856,26279,71194,60350,55450,38897,65619,45945
9,201703,117030,71032,60487,119695,82784,20598,41276,28703,64195,17992,53764,28358,49400,70617,74075,49487,53991,79892,21247,76353,62909,56332,32644,68877,46626
10,201704,109846,60436,58067,113071,79286,19578,38624,27057,61164,13569,52283,26360,47598,68505,71646,50454,51066,77548,19917,80441,59377,52636,29426,64222,43349
11,201705,108360,59746,62051,120329,82438,17638,57572,28108,64045,13457,54080,27145,47840,70636,75508,52197,52365,81367,20951,59768,63086,52547,30466,67278,46975
12,201706,103091,55664,55991,108440,73730,16374,52404,25437,57890,12810,49634,25096,44981,65153,68929,46287,48225,72248,18817,51862,58393,45177,28835,63378,42568
13,201707,114497,62253,63211,122383,84419,19095,37663,29076,65187,14093,54213,26681,47024,70510,75184,49250,52964,79370,21199,76740,61948,56773,30357,69398,46892
14,201708,110668,58007,64183,115206,81412,18636,59069,27109,57282,13462,51065,25613,45526,68475,71009,57922,50064,75729,20284,55010,40432,47008,28474,80975,44367
15,201709,98702,52092,56908,100715,72165,17024,32292,21071,50792,11828,47397,23923,42521,62154,66509,55263,46138,68849,17945,73934,48188,40628,26648,63251,40399
16,201710,95294,53824,63839,106424,75528,17570,35381,21186,54033,11514,51781,23661,42461,64378,66789,55729,44005,71603,18504,70021,49002,42431,26360,62088,41433
17,201711,105381,54720,65103,113426,78334,17029,38524,22445,57007,11426,50205,25074,44948,68224,70302,57730,51743,72769,19722,68426,51294,43549,28247,67531,42436
18,201712,129596,65394,78231,131774,94220,19035,44357,25040,66287,12225,57439,23399,53209,79332,83800,68095,55603,77511,20288,77848,58377,50501,30573,78199,48631
19,201801,112471,59840,70000,121153,18463,17243,37332,23410,59400,11228,52543,89056,48603,72886,76685,62801,52555,69390,18605,71929,53247,44827,27470,70550,45245
20,201802,101403,54528,62539,108453,76834,15743,35171,20567,53328,9829,49242,16413,43336,68603,71505,58826,49629,61853,16130,67206,48041,40904,23935,63946,41282
21,201803,94598,50951,59290,102926,14713,14784,31730,19702,51615,9497,44931,76491,40206,63240,65928,52677,45446,59997,15846,61204,46040,38425,23010,59952,38737
22,201804,102623,52309,58400,97664,71013,15546,33357,19544,50125,9719,47192,16546,42249,66464,67155,55917,46656,57905,15767,67707,47105,37279,25001,63314,40386
23,201805,97451,52770,60248,101532,72971,14883,33637,19534,51108,8945,47000,15705,42213,66303,68905,59100,47507,60154,15226,69497,47628,38496,22979,63642,39880
24,201806,100285,53224,60392,103283,73820,14095,33749,19736,52330,8418,46767,15217,41745,66268,71345,58776,47418,60960,15022,67233,47096,37901,22138,64163,39138
